session_id,trial_idx,initial_error_deg,ballistic_error_deg,min_error_deg,final_error_deg,onset_latency_s,time_to_peak_s,t_first_hit,movement_time_s,settle_time_s,peak_speed_deg_s,mean_speed_deg_s,path_length_deg,tortuosity,n_submovements,target_ele_deg,ele_mean_abs_error_deg,ele_initial_error_deg,ele_min_error_deg,ele_final_error_deg,ele_final_bias_deg,ele_efficiency,ele_initial_dir_correct,reached_target,success,session_order
17.06_11.06,197,9.073224266493575,3.822656828792364,0.28683687110446593,13.289016714583457,0.0,1.3634283542633057,0.1453711986541748,0.1453711986541748,0.1453711986541748,67.77917947096928,14.944754905595895,94.61431277603822,22.251328985960043,4,0.0,4.291828935830671,1.150390625,0.03125,1.017578125,-1.017578125,0.02336105675146771,False,True,True,1
17.06_11.06,198,38.372227869959566,34.9676224404895,1.7584200339011724,32.353395536771544,0.0,2.5506465435028076,3.555309295654297,3.555309295654297,3.555309295654297,110.84756907829744,27.75593055321934,137.7631018353365,19.967385132630035,4,-29.171875,21.80794600079747,29.73828125,0.015625,23.00390625,23.00390625,0.29596639309191336,False,True,True,1
17.06_11.06,199,39.06730282974018,39.05852968104056,1.9347258365205133,38.16709062321394,0.0,6.163559198379517,5.1029040813446045,5.1029040813446045,5.1029040813446045,103.1284922311809,27.4460208879555,175.80432447783375,16.546289362619646,3,33.34375,22.754809620357335,35.640625,0.125,29.265625,-29.265625,0.27027348394768136,False,True,True,1
17.06_11.06,200,27.720627713603125,26.636278584338875,0.8884293109893437,25.468019364999247,0.02121567726135254,3.8125686645507812,4.7419753074646,4.720759630203247,4.7419753074646,80.89804506815396,24.1545037628644,148.50472519389183,15.7448274675349,3,-25.0,14.546071074116815,26.615234375,0.734375,20.58203125,20.58203125,0.2275201318658677,True,True,True,1
17.06_11.06,201,35.49926069322606,30.60396504362795,1.5000813780008737,26.64109036662823,0.0,0.12406730651855469,1.6695818901062012,1.6695818901062012,1.6695818901062012,68.40273848885036,18.99505319061058,167.04988697079955,18.85823983883799,9,25.0,8.867334303014601,25.203125,0.015625,18.92578125,-18.92578125,0.2918043173281441,True,True,True,1
17.06_11.06,202,25.51011337488358,24.71465891706707,1.0001220628628287,27.065515856714942,0.0,2.9689409732818604,1.8843109607696533,1.8843109607696533,1.8843109607696533,68.56317935861995,25.6973083056267,93.71095173163806,20.79504405785156,4,-25.0,13.90051820434647,24.91015625,0.015625,25.150390625,25.150390625,0.40336719516440395,True,True,True,1
17.06_11.06,203,44.266267706517105,44.654455555979816,1.2535106950082238,23.080748412164304,0.22870826721191406,2.950861930847168,6.313833951950073,6.085125684738159,6.313833951950073,102.02422729164299,19.041218150171048,190.72523468226936,6.9154389907072815,6,33.34375,20.35105743419269,36.18359375,0.0,23.046875,-23.046875,0.28500661518107134,False,True,True,1
17.06_11.06,204,10.31316581657428,12.030098996282264,0.5060667106469264,12.229956597588817,0.0,0.1671760082244873,2.197227954864502,2.197227954864502,2.197227954864502,73.8177893256111,18.297220614552383,72.77134573240086,15.264556818977665,4,8.328125,6.837873436211146,9.8671875,0.015625,9.4609375,-9.4609375,0.3538655815911323,False,True,True,1
17.06_11.06,205,35.28602523181318,33.97511210868702,0.125,18.669625910569955,0.20843982696533203,0.437640905380249,2.2517945766448975,2.0433547496795654,2.2517945766448975,53.03712483527715,19.286860481525736,77.81581734359077,4.489527658480524,3,-25.0,11.69649760358601,25.6328125,0.03125,15.765625,15.765625,0.5583574714602146,True,True,True,1
17.06_11.06,206,38.863261422311254,37.250838916727766,18.77500936251431,18.777297837082415,0.06235170364379883,0.25058627128601074,,,,79.93852232109282,24.889606168661132,48.25858142449674,1.2964090239066752,2,33.34375,27.536486803724365,32.5390625,14.84375,14.84375,-14.84375,0.8003533568904594,True,False,False,1
18.06_09.45,207,20.440104000775044,26.27528544088532,14.185650003282367,70.81084508216237,0.0,7.901965141296387,,,,273.67825824562533,43.07814104568861,430.8998234147034,7.71110958901855,9,12.5,24.80005405503506,14.53125,10.56640625,70.1875,-70.1875,0.027779298264820187,True,False,False,2
18.06_09.45,208,25.318191152265523,25.69040932619907,2.002988489888297,18.48522028921011,0.43790483474731445,3.7462048530578613,4.2245166301727295,3.786611795425415,4.2245166301727295,71.90130570134914,20.3297283874411,200.0857073972777,4.730824637751526,9,-16.671875,12.462019741464104,16.4453125,0.015625,17.484375,-17.484375,0.11369411255879332,True,True,False,2
18.06_09.45,209,37.66717943050687,35.00825795437414,1.1876027916037415,33.56423871812884,0.0,5.494504690170288,3.3571090698242188,3.3571090698242188,3.3571090698242188,92.55576079090334,19.914529127744473,114.671669957746,17.446893662614862,3,29.171875,13.031285304603324,29.4375,0.0,22.94140625,-22.94140625,0.40177000586447725,False,True,True,2
